mass_A
t	x	y
1.010000000E0	5.026164504E-1	2.331912053E-1
1.020000000E0	5.068837797E-1	2.375937646E-1
1.030000000E0	5.105802670E-1	2.418710742E-1
1.040000000E0	5.138499453E-1	2.453350421E-1
1.050000000E0	5.164603743E-1	2.484249417E-1
1.060000000E0	5.191332847E-1	2.510402121E-1
1.070000000E0	5.209132461E-1	2.536878879E-1
1.080000000E0	5.225621055E-1	2.556151590E-1
1.090000000E0	5.239977834E-1	2.575891857E-1
1.100000000E0	5.253314572E-1	2.592844840E-1
1.110000000E0	5.260009632E-1	2.602183944E-1
1.120000000E0	5.265610883E-1	2.610284782E-1
1.130000000E0	5.268823448E-1	2.612467949E-1
1.140000000E0	5.269063884E-1	2.612088391E-1
1.150000000E0	5.263369569E-1	2.609982611E-1
1.160000000E0	5.255519060E-1	2.599357152E-1
1.170000000E0	5.243265770E-1	2.587215213E-1
1.180000000E0	5.226105346E-1	2.568933568E-1
1.190000000E0	5.208668791E-1	2.551789332E-1
1.200000000E0	5.191277959E-1	2.524704862E-1
1.210000000E0	5.163520934E-1	2.496571123E-1
1.220000000E0	5.133123448E-1	2.465488741E-1
1.230000000E0	5.101640078E-1	2.433674559E-1
1.240000000E0	5.067126559E-1	2.392883729E-1
1.250000000E0	5.026413849E-1	2.350442099E-1
1.260000000E0	4.986230120E-1	2.304745945E-1
1.270000000E0	4.941689703E-1	2.258293331E-1
1.280000000E0	4.891539002E-1	2.205747725E-1
1.290000000E0	4.837424972E-1	2.154089735E-1
1.300000000E0	4.777951849E-1	2.097796506E-1
1.310000000E0	4.717289963E-1	2.040172435E-1
1.320000000E0	4.653254836E-1	1.979247433E-1
1.330000000E0	4.576145292E-1	1.922287328E-1
1.340000000E0	4.507157967E-1	1.846690220E-1
1.350000000E0	4.426186306E-1	1.777701227E-1
1.360000000E0	4.347935769E-1	1.715095591E-1
1.370000000E0	4.257648712E-1	1.644222022E-1
1.380000000E0	4.165029828E-1	1.572883317E-1
1.390000000E0	4.071498290E-1	1.501777358E-1
1.400000000E0	3.969174268E-1	1.427527320E-1
1.410000000E0	3.865290484E-1	1.353990205E-1
1.420000000E0	3.754181698E-1	1.282488407E-1
1.430000000E0	3.643766010E-1	1.210555689E-1
1.440000000E0	3.527251111E-1	1.137953392E-1
1.450000000E0	3.406278144E-1	1.066566975E-1
1.460000000E0	3.281288151E-1	9.967131757E-2
1.470000000E0	3.157811416E-1	9.314823110E-2
1.480000000E0	3.022844986E-1	8.626667005E-2
1.490000000E0	2.885672313E-1	7.966456425E-2
1.500000000E0	2.746886241E-1	7.322947851E-2
1.510000000E0	2.598251112E-1	6.679306152E-2
1.520000000E0	2.457922052E-1	6.077824681E-2
1.530000000E0	2.303321309E-1	5.504247481E-2
1.540000000E0	2.152322934E-1	4.956485674E-2
1.550000000E0	1.993267963E-1	4.419703054E-2
1.560000000E0	1.836642191E-1	3.947646994E-2
1.570000000E0	1.673954299E-1	3.515637358E-2
1.580000000E0	1.507072670E-1	3.112622926E-2
1.590000000E0	1.338058669E-1	2.726385755E-2
1.600000000E0	1.170424522E-1	2.422013082E-2
1.610000000E0	9.961077821E-2	2.120915818E-2
1.620000000E0	8.174974142E-2	2.040818862E-2
1.630000000E0	6.479201309E-2	1.708478812E-2
1.640000000E0	4.686998196E-2	1.566603966E-2
1.650000000E0	2.924192797E-2	1.461182068E-2
1.660000000E0	1.125426851E-2	1.392824183E-2
1.670000000E0	-6.596604898E-3	1.388323998E-2
1.680000000E0	-2.425160579E-2	1.424005570E-2
1.690000000E0	-4.178004251E-2	1.504139753E-2
1.700000000E0	-5.956392634E-2	1.648940227E-2
1.710000000E0	-7.737609313E-2	1.811700855E-2
1.720000000E0	-9.404729953E-2	2.069648711E-2
1.730000000E0	-1.121621986E-1	2.302403447E-2
1.740000000E0	-1.296874765E-1	2.566969670E-2
1.750000000E0	-1.463828374E-1	2.888310172E-2
1.760000000E0	-1.630376031E-1	3.240471379E-2
1.770000000E0	-1.794520624E-1	3.607217242E-2
1.780000000E0	-1.959845169E-1	4.045740595E-2
1.790000000E0	-2.120787169E-1	4.502435185E-2
1.800000000E0	-2.280065054E-1	5.034148394E-2
1.810000000E0	-2.433693739E-1	5.540539835E-2
1.820000000E0	-2.584191826E-1	6.060568136E-2
1.830000000E0	-2.732600286E-1	6.662668056E-2
1.840000000E0	-2.863536559E-1	7.461112702E-2
1.850000000E0	-3.013121460E-1	7.911576903E-2
1.860000000E0	-3.150376018E-1	8.563382177E-2
1.870000000E0	-3.280049518E-1	9.219058558E-2
1.880000000E0	-3.409679245E-1	9.934952144E-2
1.890000000E0	-3.532062338E-1	1.060734581E-1
1.900000000E0	-3.650687252E-1	1.133003601E-1
1.910000000E0	-3.763818763E-1	1.203627863E-1
1.920000000E0	-3.871454682E-1	1.275325380E-1
1.930000000E0	-3.973491968E-1	1.342293899E-1
1.940000000E0	-4.073949781E-1	1.416150777E-1
1.950000000E0	-4.167578675E-1	1.483031918E-1
1.960000000E0	-4.257101612E-1	1.555302549E-1
1.970000000E0	-4.343871411E-1	1.621391809E-1
1.980000000E0	-4.426193523E-1	1.692198472E-1
1.990000000E0	-4.505639182E-1	1.757699039E-1
2.000000000E0	-4.579624191E-1	1.820962133E-1
2.010000000E0	-4.647116914E-1	1.882371230E-1
2.020000000E0	-4.708120390E-1	1.943316974E-1
2.030000000E0	-4.763001022E-1	2.018744203E-1
2.040000000E0	-4.826407020E-1	2.064348447E-1
2.050000000E0	-4.882416242E-1	2.111333610E-1
2.060000000E0	-4.931965203E-1	2.160374964E-1
2.070000000E0	-4.975887761E-1	2.206426465E-1
2.080000000E0	-5.018560541E-1	2.249164035E-1
2.090000000E0	-5.055731228E-1	2.287122352E-1
2.100000000E0	-5.090580283E-1	2.324907492E-1
2.110000000E0	-5.121385624E-1	2.357866516E-1
2.120000000E0	-5.149957176E-1	2.388429114E-1
2.130000000E0	-5.170124387E-1	2.415481714E-1
2.140000000E0	-5.192903831E-1	2.436038828E-1
2.150000000E0	-5.209358309E-1	2.453691723E-1
2.160000000E0	-5.223414540E-1	2.467204329E-1
2.170000000E0	-5.233914167E-1	2.479851972E-1
2.180000000E0	-5.240713187E-1	2.485032888E-1
2.190000000E0	-5.242478143E-1	2.491073567E-1
2.200000000E0	-5.241791607E-1	2.493035018E-1
2.210000000E0	-5.239434607E-1	2.488986320E-1
2.220000000E0	-5.234762044E-1	2.481975328E-1
2.230000000E0	-5.225133576E-1	2.467722968E-1
2.240000000E0	-5.211041576E-1	2.451640222E-1
2.250000000E0	-5.195668363E-1	2.434230033E-1
2.260000000E0	-5.172941479E-1	2.409651602E-1
2.270000000E0	-5.150300984E-1	2.385129970E-1
2.280000000E0	-5.122600270E-1	2.356102724E-1
2.290000000E0	-5.091979982E-1	2.322257822E-1
2.300000000E0	-5.058734358E-1	2.283973756E-1
2.310000000E0	-5.020232288E-1	2.245973988E-1
2.320000000E0	-4.977643589E-1	2.204727696E-1
2.330000000E0	-4.933487386E-1	2.158135264E-1
2.340000000E0	-4.887101386E-1	2.109231673E-1
2.350000000E0	-4.831959491E-1	2.064141134E-1
2.360000000E0	-4.767945076E-1	2.019713751E-1
2.370000000E0	-4.711938996E-1	1.942176328E-1
2.380000000E0	-4.652538192E-1	1.880849965E-1
2.390000000E0	-4.583814824E-1	1.819860411E-1
2.400000000E0	-4.508309011E-1	1.756300152E-1
2.410000000E0	-4.432424348E-1	1.693077701E-1
2.420000000E0	-4.348027486E-1	1.622806966E-1
2.430000000E0	-4.265215332E-1	1.558043713E-1
2.440000000E0	-4.180314717E-1	1.492460558E-1
2.450000000E0	-4.086814326E-1	1.422817758E-1
2.460000000E0	-3.990208046E-1	1.354657399E-1
2.470000000E0	-3.885792180E-1	1.281551033E-1
2.480000000E0	-3.780502865E-1	1.214487509E-1
2.490000000E0	-3.665502655E-1	1.141601356E-1
2.500000000E0	-3.550279302E-1	1.073719401E-1
2.510000000E0	-3.428271126E-1	1.002844570E-1
2.520000000E0	-3.307044871E-1	9.364998440E-2
2.530000000E0	-3.178146269E-1	8.720859526E-2
2.540000000E0	-3.043636023E-1	8.069095927E-2
2.550000000E0	-2.910425038E-1	7.706624666E-2
2.560000000E0	-2.771429692E-1	6.850286550E-2
2.570000000E0	-2.629295680E-1	6.292172773E-2
2.580000000E0	-2.478965595E-1	5.732616743E-2
2.590000000E0	-2.331098182E-1	5.224985191E-2
2.600000000E0	-2.179919682E-1	4.742913750E-2
2.610000000E0	-2.027654087E-1	4.293982502E-2
2.620000000E0	-1.869341703E-1	3.888899589E-2
2.630000000E0	-1.713595547E-1	3.524874468E-2
2.640000000E0	-1.552809551E-1	3.181171625E-2
2.650000000E0	-1.390034635E-1	2.887928304E-2
2.660000000E0	-1.224248309E-1	2.571857005E-2
2.670000000E0	-1.069670833E-1	2.501589626E-2
2.680000000E0	-8.975537635E-2	2.134397335E-2
2.690000000E0	-7.294712609E-2	1.937602834E-2
2.700000000E0	-5.648561335E-2	1.804935176E-2
2.710000000E0	-3.978969993E-2	1.696185478E-2
2.720000000E0	-2.319695150E-2	1.626948333E-2
2.730000000E0	-6.629048552E-3	1.582346099E-2
2.740000000E0	9.836256253E-3	1.621240372E-2
2.750000000E0	2.593865055E-2	1.646988960E-2
2.760000000E0	4.224398227E-2	1.729376675E-2
2.770000000E0	5.878070985E-2	1.837392853E-2
2.780000000E0	7.431513621E-2	2.037028628E-2
2.790000000E0	9.091641258E-2	2.308380840E-2
2.800000000E0	1.070401430E-1	2.479732256E-2
2.810000000E0	1.225270549E-1	2.752085568E-2
2.820000000E0	1.381339991E-1	3.040059338E-2
2.830000000E0	1.537506785E-1	3.399625135E-2
2.840000000E0	1.687785013E-1	3.778413990E-2
2.850000000E0	1.836002610E-1	4.202348117E-2
2.860000000E0	1.979848975E-1	4.637320655E-2
2.870000000E0	2.122171855E-1	5.092925229E-2
2.880000000E0	2.261815834E-1	5.543856927E-2
2.890000000E0	2.398344228E-1	6.046696777E-2
2.900000000E0	2.529942684E-1	6.530871375E-2
2.910000000E0	2.657831507E-1	7.072139671E-2
2.920000000E0	2.781106110E-1	7.614154757E-2
2.930000000E0	2.904071703E-1	8.183317035E-2
2.940000000E0	3.022084875E-1	8.733927383E-2
2.950000000E0	3.135571125E-1	9.315055219E-2
2.960000000E0	3.246483481E-1	9.905004193E-2
2.970000000E0	3.346078708E-1	1.047128357E-1
2.980000000E0	3.445759131E-1	1.102729554E-1
2.990000000E0	3.538727768E-1	1.157041275E-1
